Code,Code Description,Number of Occurences
30006,Other Offenses,9
6316,Larceny Theft,10
4073,Assault,50
27131,Other Miscellaneous,64
12130,Weapons Carrying Etc,44
4072,Assault,1
15052,Offences Against The Family And Children,31
11013,Stolen Property,23
12163,Weapons Carrying Etc,24
3473,Robbery,45
6132,Larceny Theft,8
60010,Suicide,22
16740,Drug Offense,11
3043,Robbery,80
6124,Larceny Theft,13
3034,Robbery,9
62070,Warrant,48
2204,Rape,6
6400,Larceny Theft,36
12026,Assault,15
16629,Drug Offense,9
4083,Assault,44
62072,Warrant,27
26120,Other Miscellaneous,47
6315,Larceny Theft,16
19083,Disorderly Conduct,12
14043,Sex Offense,14
30155,Other Offenses,73
3021,Robbery,52
14015,Sex Offense,27
27060,Other Miscellaneous,12
27173,Other Miscellaneous,8
6111,Larceny Theft,107
12164,Weapons Carrying Etc,20
10090,Embezzlement,40
28092,Malicious Mischief,98
64090,Other Miscellaneous,44
28110,Malicious Mischief,33
27070,Other Miscellaneous,27
13115,Disorderly Conduct,17
9267,Fraud,9
5133,Burglary,5
15097,Offences Against The Family And Children,3
30170,Other Offenses,5
6150,Larceny Theft,12
12050,Weapons Offence,10
3421,Robbery,9
15400,Offences Against The Family And Children,26
16664,Drug Offense,70
64072,Suspicious Occ,25
16510,Drug Offense,2
64003,Civil Sidewalks,24
4145,Assault,4
6120,Larceny Theft,2
28169,Malicious Mischief,8
16060,Drug Offense,21
5061,Burglary,78
13010,Prostitution,7
29010,Malicious Mischief,19
16624,Drug Offense,13
5113,Burglary,18
27210,Other Miscellaneous,2
4024,Assault,17
15401,Offences Against The Family And Children,5
10065,Embezzlement,5
26029,Arson,37
6342,Larceny Theft,3
6343,Larceny Theft,4
9060,Fraud,4
13030,"Human Trafficking, Commercial Sex Acts",6
6391,Larceny Theft,4
1001,Homicide,9
16040,Drug Offense,18
5121,Burglary,10
12166,Weapons Carrying Etc,22
6123,Larceny Theft,10
5022,Burglary,9
16310,Drug Offense,3
28080,Malicious Mischief,33
19100,Disorderly Conduct,1
5031,Burglary,11
15030,Offences Against The Family And Children,20
64030,Non-Criminal,19
14072,Rape,10
4064,Assault,20
26035,Arson,2
12025,Weapons Offense,15
16632,Drug Offense,7
28136,Malicious Mischief,15
17060,Liquor Laws,5
13120,Disorderly Conduct,4
5112,Burglary,4
15150,Offences Against The Family And Children,60
28103,Malicious Mischief,1
16230,Drug Offense,3
12171,Weapons Carrying Etc,37
3064,Robbery,9
16610,Drug Offense,1
12008,Suspicious,34
27122,Other Miscellaneous,16
27068,Other Miscellaneous,34
3494,Robbery,10
4063,Assault,13
19082,Disorderly Conduct,6
3042,Robbery,47
27080,Other Miscellaneous,3
26149,Other Miscellaneous,7
2004,Rape,10
7201,Forgery And Counterfeiting,5
7203,Other Miscellaneous,3
64012,Non-Criminal,17
64065,Suspicious Occ,62
60070,Suicide,5
4053,Assault,3
68021,Miscellaneous Investigation,4
26039,Arson,17
15010,Family Offense,3
27100,Other Miscellaneous,23
26142,Other Miscellaneous,41
3493,Robbery,1
7024,Motor Vehicle Theft,12
27066,Other Miscellaneous,13
31000,Other Offenses,6
9270,Fraud,4
3422,Robbery,7
9271,Fraud,7
12006,Weapons Offense,16
3413,Robbery,17
27140,Other Miscellaneous,13
17020,Liquor Laws,1
27177,Other Miscellaneous,42
3094,Robbery,13
27197,Other Miscellaneous,2
30030,Other Offenses,20
11016,Stolen Property,14
6214,Larceny Theft,2
9163,Fraud,3
5271,Burglary,16
14052,Rape,9
19077,Disorderly Conduct,9
12055,Weapons Offense,9
12167,Weapons Carrying Etc,22
65040,Other Miscellaneous,13
27031,Other Miscellaneous,4
6310,Larceny Theft,17
27030,Other Miscellaneous,4
19075,Disorderly Conduct,8
64013,Non-Criminal,1
13111,Prostitution,7
28167,Malicious Mischief,7
9022,Fraud,1
9263,Fraud,1
16656,Drug Offense,14
7022,Motor Vehicle Theft,6
60110,Suicide,5
15060,Offences Against The Family And Children,4
26037,Arson,11
3041,Robbery,40
14017,Sex Offense,19
3424,Robbery,23
13045,"Human Trafficking (A), Commercial Sex Acts",90
19032,Disorderly Conduct,1
30000,Other Offenses,11
4062,Assault,5
28030,Malicious Mischief,14
5062,Burglary,11
19062,Disorderly Conduct,21
14041,Sex Offense,2
3092,Robbery,6
5021,Burglary,25
3443,Robbery,7
12172,Weapons Carrying Etc,2
3451,Robbery,5
3411,Robbery,29
3083,Robbery,12
65055,Other Miscellaneous,10
17030,Liquor Laws,14
4091,Assault,1
4080,Assault,11
16130,Drug Offense,8
28130,Malicious Mischief,4
66040,Gambling,3
66010,Gambling,11
17130,Liquor Laws,10
19060,Disorderly Conduct,2
12065,Weapons Offense,7
26010,Other Miscellaneous,1
9023,Fraud,3
66030,Gambling,3
14060,Sex Offense,7
16666,Drug Offense,4
30011,Other Offenses,2
60120,Suicide,4
16612,Drug Offense,1
28181,Malicious Mischief,2
61010,Other,4
6130,Larceny Theft,5
29082,Juvenile Offenses,1
7044,Recovered Vehicle,11
3441,Robbery,6
12110,Weapons Carrying Etc,3
