Code,Code Description,Number of Occurences
1621,GAMBLING,24
0481,BATTERY,41
1335,CRIMINAL TRESPASS,577
1681,GAMBLING,9
0495,BATTERY,2266
1682,OTHER OFFENSE,342
1755,OFFENSE INVOLVING CHILDREN,967
0272,CRIM SEXUAL ASSAULT,4
501A,OTHER OFFENSE,3646
0485,BATTERY,666
2220,LIQUOR LAW VIOLATION,4363
1242,DECEPTIVE PRACTICE,1906
2170,NARCOTICS,11628
0650,BURGLARY,5913
502T,OTHER OFFENSE,491
3000,PUBLIC PEACE VIOLATION,71
4810,OTHER OFFENSE,45
0558,ASSAULT,1278
0895,THEFT,1364
1375,CRIMINAL DAMAGE,1098
0865,THEFT,1001
3300,PUBLIC PEACE VIOLATION,96
0475,BATTERY,81
2890,PUBLIC PEACE VIOLATION,1973
1160,DECEPTIVE PRACTICE,4
1261,DECEPTIVE PRACTICE,305
1725,OFFENSE INVOLVING CHILDREN,133
0487,BATTERY,57
1185,DECEPTIVE PRACTICE,961
3970,INTIMIDATION,317
5008,OTHER OFFENSE,233
1255,DECEPTIVE PRACTICE,419
2160,NARCOTICS,152
1572,SEX OFFENSE,7
1620,GAMBLING,13
0556,ASSAULT,102
1035,ARSON,59
1477,WEAPONS VIOLATION,1757
3975,INTIMIDATION,125
1265,CRIMINAL DAMAGE,102
1850,NARCOTICS,487
500E,OTHER OFFENSE,93
0557,ASSAULT,543
0494,RITUALISM,3
500N,OTHER OFFENSE,120
501H,OTHER OFFENSE,112
1574,SEX OFFENSE,19
1435,WEAPONS VIOLATION,199
1531,PROSTITUTION,27
1260,DECEPTIVE PRACTICE,64
4860,OTHER OFFENSE,145
1537,OFFENSE INVOLVING CHILDREN,68
0142,HOMICIDE,27
0555,ASSAULT,359
3966,INTIMIDATION,30
1526,PROSTITUTION,9
0141,HOMICIDE,3
1241,DECEPTIVE PRACTICE,16
4625,OTHER OFFENSE,4630
3770,INTERFERENCE WITH PUBLIC OFFICER,6
2120,NARCOTICS,12
0461,BATTERY,569
2080,NARCOTICS,38
0479,BATTERY,2666
1715,OFFENSE INVOLVING CHILDREN,32
0498,BATTERY,3332
0488,BATTERY,499
0462,BATTERY,594
3751,INTERFERENCE WITH PUBLIC OFFICER,22
0489,BATTERY,198
0583,STALKING,248
1860,NARCOTICS,6
2060,NARCOTICS,8
Block,IUCR,1
1633,GAMBLING,1
4740,OTHER OFFENSE,6
1625,GAMBLING,2
0331,ROBBERY,1096
1578,SEX OFFENSE,2
1640,GAMBLING,3
0510,RITUALISM,6
1476,WEAPONS VIOLATION,4
4800,OTHER OFFENSE,110
5093,NON-CRIMINAL,70
2895,PUBLIC PEACE VIOLATION,30
0938,MOTOR VEHICLE THEFT,16
2031,NARCOTICS,581
3200,PUBLIC PEACE VIOLATION,13
1521,PROSTITUTION,2
2032,NARCOTICS,87
0918,MOTOR VEHICLE THEFT,152
3731,INTERFERENCE WITH PUBLIC OFFICER,3894
3980,INTIMIDATION,8
1624,GAMBLING,2
5009,OTHER OFFENSE,49
0928,MOTOR VEHICLE THEFT,8
4389,OTHER OFFENSE,34
5110,OTHER OFFENSE,413
