CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
480915898,9/15/2014,1:15:00,9/15/2014,1:25:00,9/15/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,115,INSIDE,BAR/NIGHT CLUB,,,1016282,211662,40.74759008,-73.884397,"(40.74759008, -73.884396999)"
398001068,9/15/2014,0:01:00,9/15/2014,2:00:00,9/15/2014,112,THEFT-FRAUD,489,"THEFT,RELATED OFFENSES,UNCLASS",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,BAR/NIGHT CLUB,,,989848,218301,40.76586869,-73.97979256,"(40.765868685, -73.979792561)"
698800545,9/14/2014,23:30:00,9/15/2014,0:01:00,9/15/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,,TAXI (YELLOW LICENSED),,,988099,217000,40.76229871,-73.98610723,"(40.76229871, -73.98610723)"
399935614,9/14/2014,21:00:00,,,9/15/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103,FRONT OF,RESIDENCE - APT. HOUSE,,,1039318,196300,40.70531178,-73.80138531,"(40.705311783, -73.801385312)"
861579355,8/26/2014,12:00:00,,,9/15/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,81,INSIDE,RESIDENCE - APT. HOUSE,,,1005475,189473,40.68671915,-73.92346972,"(40.686719153, -73.923469723)"
167301365,8/20/2014,0:01:00,9/11/2014,23:59:00,9/15/2014,109,GRAND LARCENY,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,49,INSIDE,RESIDENCE-HOUSE,,,1025939,252369,40.85927921,-73.8492919,"(40.859279206, -73.849291902)"
269163573,9/14/2014,16:30:00,9/14/2014,16:38:00,9/14/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,CLOTHING/BOUTIQUE,,,998954,233791,40.80837414,-73.94688582,"(40.808374136, -73.946885823)"
952684908,9/14/2014,4:50:00,,,9/14/2014,112,THEFT-FRAUD,489,"THEFT,RELATED OFFENSES,UNCLASS",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,10,FRONT OF,STREET,,,983291,212036,40.74867458,-74.00346256,"(40.748674575, -74.003462564)"
312085416,9/13/2014,23:00:00,9/13/2014,23:30:00,9/14/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,41,INSIDE,RESIDENCE-HOUSE,,,1015558,236616,40.81608474,-73.88689365,"(40.816084735, -73.88689365)"
138936650,9/9/2014,2:00:00,9/9/2014,22:49:00,9/14/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,10,INSIDE,,,,985572,211509,40.74722805,-73.99523034,"(40.747228046, -73.995230338)"
908792186,9/8/2014,15:00:00,9/8/2014,22:00:00,9/14/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,HOSPITAL,,,987618,219846,40.77011044,-73.98784213,"(40.77011044, -73.987842129)"
921458557,9/3/2014,12:00:00,9/3/2014,12:00:00,9/14/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,45,INSIDE,RESIDENCE-HOUSE,,,1025990,244239,40.83696454,-73.84915814,"(40.836964542, -73.849158143)"
748905070,9/2/2014,10:00:00,9/2/2014,12:00:00,9/14/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,RESIDENCE - APT. HOUSE,,,991353,210389,40.74415117,-73.97436784,"(40.744151173, -73.974367839)"
334793530,9/13/2014,18:00:00,9/13/2014,18:05:00,9/13/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. TRANSIT POLICE,QUEENS,102,,TRANSIT - NYC SUBWAY,,,,,,,
411985374,9/13/2014,5:05:00,9/13/2014,5:25:00,9/13/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,114,FRONT OF,STREET,,,1009831,222971,40.77865138,-73.9076358,"(40.778651375, -73.907635797)"
683699667,9/13/2014,1:06:00,9/13/2014,1:28:00,9/13/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,34,,STREET,,,1002209,249485,40.85144365,-73.9350857,"(40.85144365, -73.935085699)"
377941258,9/12/2014,6:00:00,9/13/2014,0:01:00,9/13/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,72,INSIDE,RESIDENCE - APT. HOUSE,,,985824,181753,40.6655548,-73.99432782,"(40.665554796, -73.994327818)"
651963712,9/12/2014,0:00:00,9/13/2014,10:00:00,9/13/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,RESIDENCE - APT. HOUSE,,,987488,219610,40.76946273,-73.98831158,"(40.769462731, -73.988311576)"
251104251,9/10/2014,9:00:00,9/13/2014,13:00:00,9/13/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,63,INSIDE,RESIDENCE-HOUSE,,,1005242,162942,40.61389789,-73.92439243,"(40.613897893, -73.924392425)"
527223726,8/23/2014,9:00:00,,,9/13/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,69,INSIDE,RESIDENCE - APT. HOUSE,,,1012580,172896,40.64119909,-73.89792065,"(40.641199094, -73.897920648)"
221740473,9/12/2014,21:05:00,9/12/2014,21:10:00,9/12/2014,112,THEFT-FRAUD,489,"THEFT,RELATED OFFENSES,UNCLASS",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,61,,TAXI (YELLOW LICENSED),,,998032,151847,40.58345851,-73.95038404,"(40.58345851, -73.95038404)"
310615515,9/12/2014,19:00:00,9/12/2014,21:00:00,9/12/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,42,FRONT OF,PARKING LOT/GARAGE (PRIVATE),,,1011978,240173,40.82585965,-73.89981257,"(40.825859654, -73.899812566)"
936616896,9/12/2014,19:00:00,9/12/2014,19:05:00,9/12/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,,STREET,,,1002584,248715,40.84932946,-73.93373231,"(40.849329457, -73.933732306)"
118101900,9/12/2014,15:00:00,9/12/2014,16:00:00,9/12/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,107,,TAXI (YELLOW LICENSED),,,1036694,206139,40.73233336,-73.81077272,"(40.732333355, -73.810772719)"
191112766,9/12/2014,11:25:00,9/12/2014,11:35:00,9/12/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,79,FRONT OF,RESIDENCE - APT. HOUSE,,,1000537,188724,40.68467378,-73.94127665,"(40.684673782, -73.941276646)"
982907205,9/12/2014,8:20:00,9/12/2014,19:40:00,9/12/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,68,,STREET,,,976510,171102,40.63631687,-74.02788875,"(40.636316869, -74.027888748)"
256168965,9/12/2014,3:53:00,9/12/2014,4:18:00,9/12/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,66,FRONT OF,TAXI (LIVERY LICENSED),,,992691,171609,40.63770784,-73.96958779,"(40.637707837, -73.969587792)"
