INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I162010385,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,763,,2016-02-07 18:00:00,2016,2,Sunday,18,Part One,FOSTER ST,42.34996895,-71.15699724,"(42.34996895, -71.15699724)"
I162010354,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,D4,160,,2016-02-07 01:40:00,2016,2,Sunday,1,Part One,TREMONT ST,42.34440738,-71.07081091,"(42.34440738, -71.07081091)"
I162010321,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D4,137,,2016-02-06 11:30:00,2016,2,Saturday,11,Part One,COMMONWEALTH AVE,42.35023814,-71.08356549,"(42.35023814, -71.08356549)"
I162010298,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,135,,2016-02-07 15:59:00,2016,2,Sunday,15,Part One,FAIRFIELD ST,42.35185362,-71.08325149,"(42.35185362, -71.08325149)"
I162010095,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E5,550,,2016-02-06 19:00:00,2016,2,Saturday,19,Part One,BLUE LEDGE TER,42.27374613,-71.13534331,"(42.27374613, -71.13534331)"
I162010017,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D4,135,,2016-02-06 14:16:00,2016,2,Saturday,14,Part One,MARLBOROUGH ST,42.35196813,-71.08200943,"(42.35196813, -71.08200943)"
I162010000,00562,Other Burglary,BURGLARY - OTHER - NO FORCE,D14,753,,2016-02-06 11:03:00,2016,2,Saturday,11,Part One,GLENLEY TER,42.34834296,-71.17089312,"(42.34834296, -71.17089312)"
I162009820,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A15,58,,2016-02-05 00:00:00,2016,2,Friday,0,Part One,MAIN ST,42.37769765,-71.06724780,"(42.37769765, -71.06724780)"
I162009787,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,799,,2016-02-05 14:04:00,2016,2,Friday,14,Part One,WADSWORTH ST,42.35514790,-71.12674488,"(42.35514790, -71.12674488)"
I162009700,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,619,,2016-02-04 19:00:00,2016,2,Thursday,19,Part One,WESTLAND AVE,42.34376458,-71.08866865,"(42.34376458, -71.08866865)"
