INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182040846,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,476,,2018-05-28 03:34:00,2018,5,Monday,3,Other,REGIS RD,42.27064206,-71.09587908,"(42.27064206, -71.09587908)"
I182040840,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C11,385,,2018-05-28 02:46:00,2018,5,Monday,2,Other,GALLIVAN BLVD,42.28410589,-71.04608937,"(42.28410589, -71.04608937)"
I182040778,00724,Auto Theft,AUTO THEFT,B2,331,,2018-05-27 21:39:00,2018,5,Sunday,21,Part One,COLUMBIA RD,42.31236298,-71.06890381,"(42.31236298, -71.06890381)"
I182040670,00724,Auto Theft,AUTO THEFT,D4,141,,2018-05-27 14:21:00,2018,5,Sunday,14,Part One,NEWBURY ST,42.34895777,-71.08489204,"(42.34895777, -71.08489204)"
I182040635,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C11,385,,2018-05-27 11:45:00,2018,5,Sunday,11,Other,HALLET ST,42.28076737,-71.04736497,"(42.28076737, -71.04736497)"
I182040635,00724,Auto Theft,AUTO THEFT,C11,385,,2018-05-27 11:45:00,2018,5,Sunday,11,Part One,HALLET ST,42.28076737,-71.04736497,"(42.28076737, -71.04736497)"
I182040536,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,D14,794,,2018-05-26 11:00:00,2018,5,Saturday,11,Part One,GLENVILLE AVE,42.35025370,-71.13336819,"(42.35025370, -71.13336819)"
I182040474,00724,Auto Theft,AUTO THEFT,B3,468,,2018-05-26 00:00:00,2018,5,Saturday,0,Part One,WELLINGTON HILL ST,42.27965686,-71.09337672,"(42.27965686, -71.09337672)"
I182040402,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,C11,359,,2018-05-26 14:25:00,2018,5,Saturday,14,Part One,ALPHA RD,42.29581546,-71.06884734,"(42.29581546, -71.06884734)"
I182040285,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,B2,238,,2018-05-26 03:10:00,2018,5,Saturday,3,Part One,GENE ST,42.31947814,-71.06554087,"(42.31947814, -71.06554087)"
I182040231,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,B3,432,,2018-05-21 12:30:00,2018,5,Monday,12,Part One,MASCOT ST,42.28539022,-71.08457730,"(42.28539022, -71.08457730)"
