INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I172102718,03301,Verbal Disputes,VERBAL DISPUTE,C11,352,,2017-12-11 20:17:00,2017,12,Monday,20,Part Three,JOSEPHINE ST,42.30052010,-71.06490653,"(42.30052010, -71.06490653)"
I172102714,03301,Verbal Disputes,VERBAL DISPUTE,E13,906,,2017-12-11 19:20:00,2017,12,Monday,19,Part Three,HEATH ST,42.32624204,-71.10317575,"(42.32624204, -71.10317575)"
I172102658,03301,Verbal Disputes,VERBAL DISPUTE,B2,240,,2017-12-11 16:22:00,2017,12,Monday,16,Part Three,COLUMBIA RD,42.31959298,-71.06260700,"(42.31959298, -71.06260700)"
I172102643,03301,Verbal Disputes,VERBAL DISPUTE,C11,379,,2017-12-11 15:45:00,2017,12,Monday,15,Part Three,CHELMSFORD ST,42.28480860,-71.05352062,"(42.28480860, -71.05352062)"
I172102642,03301,Verbal Disputes,VERBAL DISPUTE,B2,319,,2017-12-11 15:31:00,2017,12,Monday,15,Part Three,ELM HILL AVE,42.30973269,-71.08734852,"(42.30973269, -71.08734852)"
I172102624,03301,Verbal Disputes,VERBAL DISPUTE,B2,308,,2017-12-11 14:31:00,2017,12,Monday,14,Part Three,HAROLD ST,42.31933723,-71.08885165,"(42.31933723, -71.08885165)"
I172102617,03301,Verbal Disputes,VERBAL DISPUTE,B3,565,,2017-12-11 14:05:00,2017,12,Monday,14,Part Three,SENATOR BOLLING CIR,42.28913147,-71.09293028,"(42.28913147, -71.09293028)"
I172102614,03301,Verbal Disputes,VERBAL DISPUTE,C11,334,,2017-12-11 13:53:00,2017,12,Monday,13,Part Three,COLEMAN ST,42.30873505,-71.06545254,"(42.30873505, -71.06545254)"
I172102549,03301,Verbal Disputes,VERBAL DISPUTE,B2,266,,2017-12-11 10:51:00,2017,12,Monday,10,Part Three,MOUNT PLEASANT AVE,42.32635760,-71.07886301,"(42.32635760, -71.07886301)"
I172102470,03301,Verbal Disputes,VERBAL DISPUTE,E5,822,,2017-12-10 23:00:00,2017,12,Sunday,23,Part Three,BLUEVIEW RD,42.26437880,-71.14908495,"(42.26437880, -71.14908495)"
I172102466,03301,Verbal Disputes,VERBAL DISPUTE,C6,914,,2017-12-10 22:06:00,2017,12,Sunday,22,Part Three,MONSIGNOR DENNIS F O'CALL,42.32476494,-71.05340359,"(42.32476494, -71.05340359)"
I172102462,03301,Verbal Disputes,VERBAL DISPUTE,B2,330,,2017-12-10 22:12:00,2017,12,Sunday,22,Part Three,SEAVER ST,42.30505376,-71.08403633,"(42.30505376, -71.08403633)"
I172102459,03301,Verbal Disputes,VERBAL DISPUTE,E5,910,,2017-12-10 21:47:00,2017,12,Sunday,21,Part Three,BEECHLAND CIR,42.27624814,-71.13646837,"(42.27624814, -71.13646837)"
I172102458,03301,Verbal Disputes,VERBAL DISPUTE,A15,59,,2017-12-10 21:37:00,2017,12,Sunday,21,Part Three,LAWRENCE ST,42.37438134,-71.06504282,"(42.37438134, -71.06504282)"
